Image,Image_Path,Label,Prediction,Probability
1,/fruits-360/Test/Apple 6/r0_139_100.jpg,Apple 6,Apple 6,1.0
2,/fruits-360/Test/Apple 6/r1_199_100.jpg,Apple 6,Apple 6,1.0
3,/fruits-360/Test/Apple 6/r1_39_100.jpg,Apple 6,Apple 6,1.0
4,/fruits-360/Test/Apple 6/r1_279_100.jpg,Apple 6,Apple 6,1.0
5,/fruits-360/Test/Apple 6/r1_19_100.jpg,Apple 6,Apple 6,1.0
6,/fruits-360/Test/Apple 6/r1_299_100.jpg,Apple 6,Apple 6,1.0
7,/fruits-360/Test/Apple 6/r0_151_100.jpg,Apple 6,Apple 6,1.0
8,/fruits-360/Test/Apple 6/r0_51_100.jpg,Apple 6,Apple 6,1.0
9,/fruits-360/Test/Apple 6/r0_3_100.jpg,Apple 6,Apple 6,1.0
10,/fruits-360/Test/Apple 6/r1_15_100.jpg,Apple 6,Apple 6,1.0
11,/fruits-360/Test/Apple Braeburn 1/82_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
12,/fruits-360/Test/Apple Braeburn 1/97_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
13,/fruits-360/Test/Apple Braeburn 1/r_6_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
14,/fruits-360/Test/Apple Braeburn 1/47_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
15,/fruits-360/Test/Apple Braeburn 1/64_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
16,/fruits-360/Test/Apple Braeburn 1/r_53_100.jpg,Apple Braeburn 1,Nectarine 1,0.9296889901161194
17,/fruits-360/Test/Apple Braeburn 1/56_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
18,/fruits-360/Test/Apple Braeburn 1/76_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
19,/fruits-360/Test/Apple Braeburn 1/98_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
20,/fruits-360/Test/Apple Braeburn 1/94_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1.0
21,/fruits-360/Test/Apple Crimson Snow 1/r_48_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1.0
22,/fruits-360/Test/Apple Crimson Snow 1/97_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.9999964237213135
23,/fruits-360/Test/Apple Crimson Snow 1/155_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.9999794960021973
24,/fruits-360/Test/Apple Crimson Snow 1/r_113_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1.0
25,/fruits-360/Test/Apple Crimson Snow 1/144_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.9999996423721313
