Image,Image_Path,Label,Prediction,Probability,Price_per_unit_usd,Unit
1,fruits-360/Test/Apple 6/r0_139_100.jpg,Apple 6,Apple 6,1,1.44,Lb
2,fruits-360/Test/Apple 6/r1_199_100.jpg,Apple 6,Apple 6,1,1.44,Lb
3,fruits-360/Test/Apple 6/r1_39_100.jpg,Apple 6,Apple 6,1,1.44,Lb
4,fruits-360/Test/Apple 6/r1_279_100.jpg,Apple 6,Apple 6,1,1.44,Lb
5,fruits-360/Test/Apple 6/r1_19_100.jpg,Apple 6,Apple 6,1,1.44,Lb
6,fruits-360/Test/Apple 6/r1_299_100.jpg,Apple 6,Apple 6,1,1.44,Lb
7,fruits-360/Test/Apple 6/r0_151_100.jpg,Apple 6,Apple 6,1,1.44,Lb
8,fruits-360/Test/Apple 6/r0_51_100.jpg,Apple 6,Apple 6,1,1.44,Lb
9,fruits-360/Test/Apple 6/r0_3_100.jpg,Apple 6,Apple 6,1,1.44,Lb
10,fruits-360/Test/Apple 6/r1_15_100.jpg,Apple 6,Apple 6,1,1.44,Lb
11,fruits-360/Test/Apple Braeburn 1/82_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
12,fruits-360/Test/Apple Braeburn 1/97_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
13,fruits-360/Test/Apple Braeburn 1/r_6_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
14,fruits-360/Test/Apple Braeburn 1/47_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
15,fruits-360/Test/Apple Braeburn 1/64_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
16,fruits-360/Test/Apple Braeburn 1/r_53_100.jpg,Apple Braeburn 1,Nectarine 1,0.92968899,1.44,Lb
17,fruits-360/Test/Apple Braeburn 1/56_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
18,fruits-360/Test/Apple Braeburn 1/76_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
19,fruits-360/Test/Apple Braeburn 1/98_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
20,fruits-360/Test/Apple Braeburn 1/94_100.jpg,Apple Braeburn 1,Apple Braeburn 1,1,1.44,Lb
